Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Asoke Montri Hostel,64,1.0,8.1,"English, Thai",1447,"16/19 Soi Sukhumvit 19, Sukhumvit Rd., Klongtoey Nua, Wattana,, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,7.9,7.3,9.3,8.1,8.2,Bangkok
SUNKISS,161,0.0,8.5,"English, Thai",176,"57, Moo.17, Thanon Phutthamonthon Sai 1, Bang Ramat, Thonburi, Bangkok, Thailand, 10170",1,0,0,0,0,0,0,1,0,1,1,1,0,0,0.0,9.4,8.4,8.2,8.7,8.5,Bangkok
Bangkok Rama Hotel (SHA Certified),79,3.5,7.6,"English, Chinese [Cantonese], Lao, Thai",788,"1788 Pattanakarn Road between 48 - 50 , Bang Na, Bangkok, Thailand, 10250",0,0,0,0,1,1,1,1,0,0,1,1,1,0,0.0,7.4,7.4,7.4,7.8,7.6,Bangkok
Movenpick Residences Ekkamai Bangkok,194,4.5,7.9,"English, Thai",404,"Sukhumvit, Bangkok, Thailand",0,0,0,0,1,1,0,1,1,0,0,1,0,0,12.0,7.9,7.8,8.0,7.8,8.2,Bangkok
Witz Hotel Bangkok Ramkhamhaeng,87,3.5,8.4,"English, Thai",103,"8 Ramkhamhaeng 35, Hua Mak, Bangkapi, Ramkhamhaeng, Bangkok, Thailand, 10240",0,0,0,1,0,1,0,1,0,1,1,1,0,0,59.0,8.5,8.6,8.5,8.8,8.7,Bangkok
Baan Tuk Din Hotel,190,3.0,9.1,"English, Thai",21,"161 Dinso Road, Bawon Niwet, Phra Nakhon, Bangkok 10200, China Town, Bangkok, Thailand, 10200",1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.0,8.0,8.0,8.0,10.0,8.0,Bangkok
Cozy Villa Hotel,63,3.0,6.9,"English, Arabic, Burmese, Khmer, Thai",725,"90/41 Ratchaprarop Rd, Pratunam, Bangkok, Thailand, 10400",0,0,0,1,0,1,0,1,0,0,0,1,0,0,5.0,6.7,6.1,7.7,6.8,7.1,Bangkok
Nasa Bangkok - SHA PLUS Certified,69,4.0,8.3,"English, Thai",2937,"44 Sukhumvit 71 - Ramkhamhaeng Road, Suanluang, Bangkok, Ratchada, Bangkok, Thailand, 10250",0,0,0,0,0,1,1,1,0,0,0,1,0,0,11.0,8.1,7.7,8.8,8.1,8.7,Bangkok
Monomer Hostel,113,2.0,8.9,"English, Chinese [Cantonese], Chinese [Mandarin], Thai",2165,"486/157 Soi Phetchaburi16, Phetchaburi Rd., Ratchathewi, Siam, Bangkok, Thailand, 10400",0,0,0,0,0,0,0,1,0,0,1,1,0,0,5.0,8.9,8.4,9.4,9.1,8.8,Bangkok
The Residence Airport & Spa Hotel,49,3.0,7.1,Thai,344,"135/1 Soi Chaloemprakiat 25,Sukhumvit 103 Road Nongbon, Pravet, Bang Na, Bangkok, Thailand, 10250",0,0,0,0,1,1,0,1,0,1,1,1,1,0,0.0,7.2,6.5,7.0,7.4,7.3,Bangkok
Peace Land Khaosan,129,3.0,8.6,"English, Thai",538,"105 Wisut Kasat Rd., Ban phan Thom, Phra Nakhon, Khaosan, Bangkok, Thailand, 10200",0,0,0,0,1,1,0,1,1,0,1,1,0,1,3.0,8.8,8.6,8.0,9.0,8.9,Bangkok
