Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Studio Nana by iCheck inn,94,3 star,"7.7
Very good
2,002 reviews","English, Thai","2,002 reviews","155/14-16 Soi Sukhumvit 11/1 Sukhumvit Rd. Khlong Tan Nuea, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,12,7.9,6.6,8.8,7.8,7.9
The Cube Hostel,64,2.5 star,"8.7
Excellent
1,443 reviews","English, Filipino, Thai","1,443 reviews","3/9 Saladang Road, Silom, Bangkok, Thailand, 10500",4,7,0,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,11,8.8,8.3,9.2,9.2,8.7
Ascella Hotel,174,3 star,"8.4
Excellent
312 reviews","English, Burmese, Thai",312 reviews,"49/16-19, Phetchaburi Soi 15, Phetchaburi Road, Phayathai, Ratchathewi, Bangkok, Pratunam, Bangkok, Thailand, 10400",,,,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,4,9.0,8.1,8.6,8.8,8.8
The House Pratunam,139,3 star,"8.2
Excellent
1,220 reviews","English, Thai","1,220 reviews","41/5-8 Phetchaburi Rd. Soi Petchburi 17, Thanonpayathai, Ratchathewi Bangkok, Pratunam, Bangkok, Thailand, 10400",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,14,8.7,7.6,8.6,8.1,8.5
Rambuttri House,56,2 star,"7.6
Very good
1,664 reviews","English, Thai","1,664 reviews","323 Rambuttri Rd., Taladyod, Pronakhon, Khaosan, Bangkok, Thailand, 10200",,,,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,0,7.5,6.8,8.5,7.2,7.8
Avion Hotel,106,4 star,"7.5
Very good
561 reviews","English, Thai",561 reviews,"1646/99, Ladkrabang Road, Ladkrabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",297,2009,220,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,False,0,7.8,7.1,7.9,7.4,7.8
Graceland Bangkok by Grace Hotel,203,3.5 star,"7.7
Very good
1,354 reviews","English, Arabic, German, Thai","1,354 reviews","35 Sukhumvit Soi 5, Klongteoy Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",140,2008,220,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,8,7.9,7.3,8.0,8.7,7.9
Ratchada Point Hotel,73,3.5 star,"7.8
Very good
2,108 reviews","English, Thai","2,108 reviews","8 Sutthisarn Vinichai Road., MRT Sutthisarn Exist 3, Huaykhwang, Ratchada, Bangkok, Thailand, 10310",9,67,1,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,31,7.6,7.3,8.5,7.8,7.7
Lucky Hotel Bangkok,JMI,3 star,"9.0
Exceptional
264 reviews",English,264 reviews,"49 Soi Sukhumvit 26, Sukhumvit, Bangkok, Thailand, 10110",,,,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,4,9.4,8.7,9.1,9.2,9.3
Mida Hotel Don Mueang Airport (SHA Plus+),117,4 star,"7.6
Very good
2,255 reviews","English, Thai","2,255 reviews","99/400-485 Soi Benjamitr, Chaeng Wattana Road, Don Mueang International Airport, Bangkok, Thailand, 10210",2,220,128,False,False,False,True,False,True,False,True,True,True,True,True,False,False,False,False,10,8.0,7.6,7.5,7.7,7.8
